RecipeId,ReadyInMinutes,Servings,Vegetarian,Vegan,GlutenFree,DairyFree,Healthy,Cheap,Popular,CookingMinutes,PreparationMinutes,IngredientCount,HealthScore,PricePerServing,Calories,FatContent,SaturatedFatContent,CarbohydrateContent,SugarContent,FiberContent,ProteinContent,SodiumContent,CholesterolContent,Cuisine_European,Cuisine_Mediterranean,Cuisine_Asian,Cuisine_Mexican,Cuisine_Italian,Cuisine_American,Cuisine_Indian,Cuisine_Middle Eastern,Cuisine_French,Cuisine_Greek,DishType_lunch,DishType_main course,DishType_main dish,DishType_dinner,DishType_side dish,DishType_antipasti,DishType_starter,DishType_snack,DishType_appetizer,DishType_antipasto,TotalTime,PrepCookRatio,CaloriesPerServing,ProteinRatio,FatRatio,CarbRatio,IngredientPerMinute,InstructionLength,IngredientLength,UniqueIngredientCount,Has_olive oil,Has_onion,Has_garlic,Has_salt,Has_bell pepper,Has_salt and pepper,Has_pepper,Has_water,Has_parsley,Has_lemon juice,Has_garlic cloves,Has_carrots,Has_butter,Has_cilantro,Has_tomatoes,Has_oregano,Has_thyme,Has_soy sauce,Has_extra virgin olive oil,Has_canned tomatoes
653078,45.0,6.0,0,0,1,0,0,0,0,25.0,10.0,7.0,34.0,690.11,369.8,10.88,3.81,1.42,0.21,0.0,65.71,4746.4,173.08,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,61.63333333333333,17.721143473570656,2.9341963322545848,0.38295577130528585,0.19444444444444445,0,76,7,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
1095886,15.0,4.0,0,0,0,0,0,0,0,25.0,10.0,5.0,25.0,120.11,721.35,30.41,7.98,85.92,3.38,4.3,25.22,694.34,19.55,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,35.0,0.38461538461538464,180.3375,3.491382293901848,4.20987056136222,11.894510971135876,0.1388888888888889,0,75,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
662235,45.0,3.0,1,1,1,1,0,0,0,25.0,10.0,11.0,31.0,241.43,231.91,15.64,1.84,20.16,11.46,5.59,7.95,942.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,35.0,0.38461538461538464,77.30333333333333,3.4133356232020953,6.715040144261733,8.655703919969087,0.3055555555555556,0,118,11,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
644109,45.0,4.0,0,0,1,1,0,0,0,25.0,10.0,21.0,32.0,350.83,912.67,59.12,15.66,41.68,12.31,6.23,44.06,1524.85,220.75,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,228.1675,4.822310024407062,6.470607549771799,4.561822102071864,0.5833333333333334,0,274,21,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1096163,40.0,8.0,0,0,1,0,0,0,0,25.0,10.0,23.0,34.0,238.37,566.84,11.07,2.41,85.27,9.24,14.19,32.81,1153.2,40.06,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,35.0,0.38461538461538464,70.855,5.778036066497605,1.9494928148774304,15.01655395886165,0.6388888888888888,0,253,23,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
652750,45.0,4.0,1,1,1,1,0,0,0,25.0,10.0,7.0,17.0,245.9,115.28,3.99,0.56,9.21,4.44,1.9,1.93,248.38,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,28.82,1.6597867217062263,3.431372549019608,7.920536635706915,0.19444444444444445,0,69,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
640279,45.0,6.0,0,0,0,0,0,0,0,25.0,10.0,12.0,27.0,346.14,219.08,4.54,1.87,27.35,13.35,1.88,17.66,806.12,38.53,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,35.0,0.38461538461538464,36.513333333333335,8.024354780079971,2.0628862231915663,12.427299163940384,0.3333333333333333,0,140,12,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1697541,20.0,2.0,1,0,0,0,0,0,0,15.0,5.0,13.0,49.0,382.67,805.74,34.32,13.65,95.37,5.32,7.06,29.94,1278.67,75.69,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,20.0,0.3125,402.87,3.7112328631281457,4.254158712844287,11.821652577038451,0.6190476190476191,0,160,13,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
662375,45.0,4.0,0,0,1,1,0,0,0,25.0,10.0,15.0,34.0,796.04,749.38,32.97,14.42,47.41,39.08,2.57,68.46,3454.68,234.95,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,187.345,9.123377488739038,4.393773821263893,6.318132146379167,0.4166666666666667,0,169,14,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
638464,75.0,6.0,0,0,1,0,0,0,0,25.0,10.0,14.0,38.0,259.77,505.34,17.17,4.86,43.29,6.68,8.35,44.43,839.53,93.07,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,84.22333333333333,8.774736343168623,3.3910020934549916,8.549591183789548,0.3888888888888889,0,163,14,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
641972,45.0,4.0,0,0,0,0,0,0,0,25.0,10.0,9.0,28.0,95.44,568.01,8.94,1.35,106.08,21.15,4.77,16.44,157.79,0.38,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,35.0,0.38461538461538464,142.0025,2.88922866030474,1.571149891917541,18.64290610006854,0.25,0,85,9,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
638199,45.0,6.0,0,0,0,0,0,0,0,25.0,10.0,14.0,17.0,250.04,368.17,9.66,4.16,41.98,13.77,3.63,27.02,828.15,62.11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,61.36166666666667,7.319121272042691,2.616680662025625,11.371454885283201,0.3888888888888889,0,151,14,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
658295,45.0,6.0,0,0,1,1,0,0,0,25.0,10.0,8.0,29.0,109.51,144.5,1.96,0.42,0.88,0.22,0.0,28.97,405.02,54.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0.38461538461538464,24.083333333333332,19.9106529209622,1.3470790378006872,0.604810996563574,0.2222222222222222,0,151,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1096263,30.0,4.0,1,1,1,1,0,0,0,25.0,10.0,5.0,30.0,134.24,89.62,3.19,2.48,13.85,4.62,4.25,4.68,1186.49,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,22.405,5.164422864709777,3.520194217612006,15.283601853895387,0.1388888888888889,0,65,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
658573,45.0,6.0,1,1,1,1,0,0,0,25.0,10.0,8.0,29.0,111.47,232.4,13.5,1.84,24.86,8.14,10.31,6.76,404.01,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,38.733333333333334,2.8963153384747216,5.784061696658097,10.651242502142244,0.2222222222222222,0,85,8,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
639177,45.0,3.0,1,1,1,1,0,0,0,25.0,10.0,6.0,26.0,192.52,382.61,19.29,1.79,51.35,33.87,5.36,6.35,14.35,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0.38461538461538464,127.53666666666668,1.6553270248429393,5.028544615625244,13.385990980422823,0.16666666666666666,0,67,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1096221,35.0,4.0,0,0,1,1,0,0,0,25.0,10.0,15.0,32.0,384.42,307.33,13.96,2.47,12.77,6.22,3.93,34.25,307.66,73.1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,76.8325,11.10822819706159,4.5276165147731335,4.141666396393474,0.4166666666666667,0,198,15,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
642893,45.0,4.0,1,1,1,1,0,0,0,25.0,10.0,11.0,31.0,266.79,484.82,37.74,5.16,30.9,6.69,8.61,10.15,581.62,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,121.205,2.0892511629821744,7.768309250339632,6.3603803877979495,0.3055555555555556,0,101,11,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
661510,45.0,4.0,0,0,1,1,0,0,0,25.0,10.0,13.0,33.0,564.34,814.35,56.42,14.08,41.53,20.6,6.89,39.16,532.2,109.64,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,35.0,0.38461538461538464,203.5875,4.802845403814312,6.9197277242901825,5.093518121052309,0.3611111111111111,0,137,12,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1096006,28.0,2.0,1,1,0,1,0,0,0,25.0,10.0,9.0,30.0,187.28,230.94,10.0,1.96,31.24,9.16,4.85,6.78,237.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,115.47,2.923169785289299,4.311459860308701,13.46900060360438,0.25,0,124,9,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
643674,25.0,2.0,1,0,1,1,0,0,0,25.0,10.0,12.0,30.0,188.92,470.08,13.56,2.85,71.9,15.06,9.01,18.2,2137.63,163.68,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,235.04,3.863462681497835,2.8784919758852,15.262800373609581,0.3333333333333333,0,126,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
648791,45.0,8.0,1,1,1,1,0,0,0,25.0,10.0,9.0,28.0,70.23,123.3,0.93,0.17,24.15,6.01,6.24,5.83,402.57,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,15.4125,4.6902654867256635,0.7481898632341111,19.428801287208366,0.25,0,100,9,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
633394,45.0,6.0,0,0,0,0,0,0,0,25.0,10.0,17.0,29.0,113.54,204.55,2.17,0.45,38.39,6.56,3.0,7.95,637.54,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,34.09166666666667,3.867672099245925,1.0557042082218437,18.676720992459256,0.4722222222222222,0,202,17,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
657537,45.0,4.0,1,0,1,0,0,0,0,25.0,10.0,7.0,26.0,196.78,349.79,27.15,9.47,13.28,9.34,3.06,14.52,659.34,44.79,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,35.0,0.38461538461538464,87.4475,4.139228598306679,7.739673308817241,3.7857407565780092,0.19444444444444445,0,83,7,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
656701,45.0,8.0,0,0,1,1,0,0,0,25.0,10.0,14.0,30.0,192.25,366.42,15.35,4.0,20.78,13.95,4.3,33.54,440.59,102.65,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,45.8025,9.128517772576343,4.177780197049698,5.65565293125034,0.3888888888888889,0,160,14,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
657377,45.0,4.0,0,0,0,0,0,0,0,25.0,10.0,15.0,24.0,231.71,812.73,40.27,22.81,78.75,15.5,3.96,33.89,1610.97,197.41,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,35.0,0.38461538461538464,203.1825,4.164772098853428,4.948815946321262,9.67765720816487,0.4166666666666667,0,150,14,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
633485,45.0,6.0,0,0,1,0,0,0,0,25.0,10.0,12.0,30.0,195.26,366.72,10.06,4.94,61.78,21.47,11.62,8.93,381.06,18.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,61.120000000000005,2.428478189927118,2.735777221799195,16.80082671597955,0.3333333333333333,0,131,12,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
640834,45.0,8.0,1,0,1,0,0,0,0,25.0,10.0,8.0,28.0,72.23,113.1,4.86,0.66,12.75,3.97,3.92,5.96,450.59,1.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,35.0,0.38461538461538464,14.1375,5.223488168273445,4.259421560035057,11.174408413672218,0.2222222222222222,0,88,8,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1095827,30.0,6.0,0,0,1,0,0,0,0,25.0,10.0,20.0,31.0,284.93,937.83,74.17,18.9,16.29,6.04,5.3,52.32,1588.4,256.42,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,156.305,5.572893921157185,7.90025883280253,1.7351384169657975,0.5555555555555556,0,197,19,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
651238,45.0,4.0,1,0,1,0,0,0,0,25.0,10.0,4.0,23.0,118.16,370.64,9.54,5.54,63.92,4.56,8.64,8.02,428.35,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.0,0.38461538461538464,92.66,2.1580023678828972,2.567000322893122,17.199440318587882,0.1111111111111111,0,47,4,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1096053,35.0,4.0,1,1,1,1,0,0,0,25.0,10.0,11.0,30.0,201.47,515.08,27.5,20.04,60.24,5.25,10.31,16.82,382.72,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,35.0,0.38461538461538464,128.77,3.2591846225391405,5.328631219965897,11.672608897845295,0.3055555555555556,0,133,10,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
654568,45.0,4.0,0,0,0,0,0,0,0,25.0,10.0,7.0,31.0,289.42,812.88,37.14,13.76,59.05,5.7,3.06,56.62,659.12,273.39,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,203.22,6.956799528185973,4.563326288887796,7.255369341917726,0.19444444444444445,0,88,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
637323,45.0,4.0,0,0,1,0,0,0,0,25.0,10.0,10.0,24.0,242.17,369.37,22.98,11.66,25.65,14.8,3.87,17.86,1307.54,61.41,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,35.0,0.38461538461538464,92.3425,4.822204822204822,6.204606204606205,6.925506925506925,0.2777777777777778,0,122,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
